Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,1,NOTCOV_A,0.4272719455308397,16.464343115778014,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,2,FDSCAT3_A,0.3343726652364355,12.884595739489047,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,3,PHSTAT_A,0.3298875692948597,12.71176866937204,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,4,AGEP_A,0.30232861439704983,11.649821836457306,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,5,EMPWRKLSW1_A,0.2987203070991762,11.51078062385078,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,6,EDUCP_A,0.2343608319450762,9.030775810120248,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,7,RATCAT_A,0.21770393571033014,8.388924975490678,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,8,CHRONIC_BURDEN_CAT,0.18301222474969908,7.052127091839314,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,9,SEX_A,0.11502304705343531,4.432256628871855,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,10,DISAB3_A,0.07722660342947682,2.975822096040827,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,11,K6SPD_A,0.063345815081115,2.4409448019067868,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,Unweighted,12,HISPALLP_A,0.011881530443870275,0.45783861078312443,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,1,NOTCOV_A,0.48085843469573214,18.10098010636279,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,2,FDSCAT3_A,0.3314338066178386,12.476180736980707,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,3,PHSTAT_A,0.3281282217165654,12.351748425471603,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,4,AGEP_A,0.3152978697945616,11.868774793024503,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,5,EMPWRKLSW1_A,0.29718253911194337,11.186858418793195,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,6,EDUCP_A,0.24359735784042336,9.169748537367553,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,7,RATCAT_A,0.21543839962814856,8.109759347952986,935,9073456.936
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_1,WTFA_A,8,CHRONIC_BURDEN_CAT,0.18455553153975812,6.9472338715118775,935,9073456.936
