Outcome,Model,Split,Explained_output,Aggregation,Rank,Encoded_feature,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,1,AGEP_A,AGEP_A,0.31134094697785253,9.79063931198469,0.08440844617888962,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,2,PHSTAT_A=1,PHSTAT_A,0.2631928499031356,8.276541482602447,-0.03226367503553912,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,3,CHRONIC_BURDEN_CAT=0,CHRONIC_BURDEN_CAT,0.21983236402079226,6.912998133141809,-0.021858238109995723,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,4,FDSCAT3_A=1,FDSCAT3_A,0.20863806586978217,6.560974614837442,0.015265551111163312,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,5,EMPWRKLSW1_A=1,EMPWRKLSW1_A,0.18486478466589915,5.813383834411888,0.02086825146400548,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,6,RATCAT_A=14,RATCAT_A,0.17038698446375702,5.3581050759123325,0.0049810529154963685,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,7,NOTCOV_A=2,NOTCOV_A,0.1620108604153347,5.094703778438995,0.005443195767606407,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,8,PHSTAT_A=2,PHSTAT_A,0.147487839844948,4.638002989463413,0.018366872677491732,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,9,SEX_A=1,SEX_A,0.10772505156243802,3.387595287258537,-0.009237972960364039,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,10,EDUCP_A=4,EDUCP_A,0.10747052658908562,3.3795913217211577,-0.0028829877117892157,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,11,NOTCOV_A=1,NOTCOV_A,0.1072428816540633,3.3724326441632,0.0027714637089977156,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,12,EMPWRKLSW1_A=2,EMPWRKLSW1_A,0.10572877215099911,3.3248189262528336,0.014298519161743059,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,13,DISAB3_A=2,DISAB3_A,0.07494657178515925,2.356820903709978,-0.005608538961087468,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,14,HISPALLP_A=2,HISPALLP_A,0.06675429697429278,2.099201054485466,-0.013262114852492147,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,15,CHRONIC_BURDEN_CAT=1,CHRONIC_BURDEN_CAT,0.056845359320098446,1.7875978571583195,0.0017506041983459016,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,16,EDUCP_A=5,EDUCP_A,0.05308300980301847,1.6692844536535432,0.0022808504149308306,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,17,EDUCP_A=7,EDUCP_A,0.04989034589825564,1.568885771631968,-0.001770726369657474,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,18,PHSTAT_A=5,PHSTAT_A,0.04915377733874284,1.5457231354135752,-0.009928056261485003,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,19,EDUCP_A=1,EDUCP_A,0.047458719959797245,1.492419207448215,-0.004130559557688718,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,20,PHSTAT_A=4,PHSTAT_A,0.04604358767917794,1.4479179946370535,-0.0005306680426029166,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,21,EDUCP_A=8,EDUCP_A,0.0432641937096932,1.360515280264677,-0.0058607680004460466,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,22,K6SPD_A=2,K6SPD_A,0.04313424700129225,1.3564288876327955,0.0016854953009124464,6417
